Date,Open,High,Low,Close,Volume,Adj Close,Max,Min,Average
08-08-2008,11432.08984,11759.95996,11388.04004,11734.32031,212830000,11734.32031,0.828363836,0.00158485,0.119083797
11-08-2008,11729.66992,11867.11035,11675.53027,11782.34961,183190000,11782.34961,0.469997525,0.002977286,0.167611602
12-08-2008,11781.7002,11782.34961,11601.51953,11642.46973,173590000,11642.46973,0.575894833,4.25E-05,0.087723927
13-08-2008,11632.80957,11633.78027,11453.33984,11532.95996,182550000,11532.95996,0.663359284,0.000725422,0.200464084
14-08-2008,11532.07031,11718.28027,11450.88965,11615.92969,159790000,11615.92969,0.795736015,0.000224051,0.175475164
15-08-2008,11611.20996,11709.88965,11599.73047,11659.90039,215040000,11659.90039,0.981849134,0.008481782,0.54856666
18-08-2008,11659.65039,11690.42969,11434.12012,11479.38965,156290000,11479.38965,0.986828089,0.00139572,0.216474042
19-08-2008,11478.08984,11478.16992,11318.5,11348.54981,171580000,11348.54981,0.802702963,0.002272532,0.274389759
20-08-2008,11345.94043,11454.15039,11290.58008,11417.42969,144880000,11417.42969,0.732797444,0.002359472,0.16073222
21-08-2008,11415.23047,11476.20996,11315.57031,11430.20996,130020000,11430.20996,0.809781253,0.002955548,0.223585901
22-08-2008,11426.79004,11632.12988,11426.79004,11628.05957,138790000,11628.05957,0.368333876,0.002068714,0.109862553
25-08-2008,11626.19043,11626.26953,11362.62988,11386.25,148610000,11386.25,0.976716995,0.006727939,0.449292227
26-08-2008,11383.55957,11436.24023,11340.41016,11412.87012,119800000,11412.87012,0.945857525,0.000428958,0.203978952
27-08-2008,11412.45996,11554.45996,11381.76953,11502.50977,120580000,11502.50977,0.953580081,0.003986397,0.285700704
28-08-2008,11499.87012,11715.17969,11499.79004,11715.17969,149150000,11715.17969,0.979742825,0.005336514,0.275981088
29-08-2008,11713.23047,11713.23047,11543.38965,11543.95996,166910000,11543.95996,0.991025865,0.001828109,0.243468508
02-09-2008,11545.62988,11790.16992,11471.90039,11516.91992,177090000,11516.91992,0.798031151,0.000906027,0.146583438
03-09-2008,11506.00977,11554.37988,11416.53027,11532.87988,174250000,11532.87988,0.926973939,0.000103524,0.307824591
04-09-2008,11532.48047,11532.48047,11176.01953,11188.23047,229200000,11188.23047,0.963804007,0.005093437,0.168665029
05-09-2008,11185.62988,11245.15039,11037.84961,11220.95996,198300000,11220.95996,0.966841161,0.004535664,0.225284578
08-09-2008,11224.87012,11570.66016,11224.79004,11510.74023,273000000,11510.74023,0.744821012,0.004269211,0.195292947
09-09-2008,11514.73047,11577.5,11230.73047,11230.73047,257300000,11230.73047,0.494759411,0.000215913,0.122594531
10-09-2008,11233.91016,11380.62988,11215.25977,11268.91992,214260000,11268.91992,0.975964844,0.000621546,0.192094266
11-09-2008,11264.44043,11445.67969,11098.66992,11433.70996,247820000,11433.70996,0.939637244,0.003899271,0.149830824
12-09-2008,11429.32031,11459.92969,11280.40039,11421.99023,238890000,11421.99023,0.28460139,0.001171087,0.071239373
15-09-2008,11416.37012,11416.4502,10917.50977,10917.50977,432970000,10917.50977,0.76298207,0.002900127,0.243349317
16-09-2008,10905.62012,11093.21973,10742.7002,11059.01953,494760000,11059.01953,0.999030471,0.001689908,0.503614493
17-09-2008,11056.58008,11057.30957,10595.90039,10609.66016,463200000,10609.66016,0.834752977,0.003220177,0.168853078
18-09-2008,10609.00977,11076.44043,10459.44043,11019.69043,488060000,11019.69043,0.892409265,0.006287178,0.27871616
19-09-2008,11027.50977,11483.04981,11026.7002,11388.44043,655110000,11388.44043,0.993575275,0.006989116,0.264638252
22-09-2008,11394.41992,11394.58008,10992.2002,11015.69043,213210000,11015.69043,0.692360222,0.001837112,0.250890198
23-09-2008,11015.69043,11143.20996,10833.94043,10854.16992,204480000,10854.16992,0.718945563,0.006108509,0.234667908
24-09-2008,10850.01953,10928.40039,10753.57031,10825.16992,183630000,10825.16992,0.89147079,0.005468375,0.243049043
25-09-2008,10827.16992,11129.19043,10827.00977,11022.05957,218530000,11022.05957,0.949200749,0.007230128,0.294487309
26-09-2008,11019.04004,11168.05957,10868.82031,11143.12988,232560000,11143.12988,0.82824862,0.000259628,0.200170082
29-09-2008,11139.62012,11139.94043,10365.4502,10365.4502,385940000,10365.4502,0.990119934,0.003156004,0.26868703
30-09-2008,10371.58008,10868.90039,10371.41992,10850.66016,319770000,10850.66016,0.89390552,0.00310919,0.182813998
01-10-2008,10847.40039,10882.51953,10631.9502,10831.07031,256670000,10831.07031,0.725461483,0.000524813,0.183937283
02-10-2008,10825.54004,10825.54004,10439.51953,10482.84961,395330000,10482.84961,0.768903494,0.000315655,0.209622995
03-10-2008,10483.95996,10796.25977,10310.25,10325.37988,299690000,10325.37988,0.59660399,0.000299296,0.168248166
06-10-2008,10322.51953,10322.75977,9525.320312,9955.5,391460000,9955.5,0.950379491,0.004631193,0.171895704
07-10-2008,9955.419922,10124.03027,9436.669922,9447.110352,362520000,9447.110352,0.895365357,0.013502868,0.203253417
08-10-2008,9437.230469,9628.070312,9194.780273,9258.099609,479270000,9258.099609,0.940237701,1.37E-05,0.156054025
